id,name
0,TVS Apache RTR 160 Rear Drum Brake
1,Bajaj Discover 125 Disc
2,Bajaj Pulsar 150 DTS- i
3,Royal Enfield Thunderbird Twinspark
4,Hero Karizma R
5,Bajaj Pulsar 200 NS
6,Honda Activa Deluxe
7,Yamaha FZ16 Standard
8,Yamaha Fazer Standard
9,Yamaha YZF R15 V 2.0
10,Hero Passion PRO Kick Alloy
11,Hero Hunk Rear Drum Brake
12,Bajaj Avenger 220 DTS- i
13,Hero Karizma R
14,Bajaj Pulsar 150 DTS- i
15,Royal Enfield Thunderbird Twinspark
16,Bajaj Avenger 220 DTS- i
17,Honda CB Shine Kick/Drum/Spokes
18,Bajaj Discover 150
19,Bajaj Avenger 220 DTS- i
20,Bajaj Pulsar 180 DTS- i
21,Honda Activa Deluxe
22,Bajaj Pulsar 220 F
23,Hyosung GT250R Standard
24,Hero Karizma R
25,Bajaj Pulsar 150 DTS- i
26,Hero Karizma R
27,Honda CB Unicorn Standard
28,Bajaj Platina Platina 100 Spoke Wheel
29,Bajaj Pulsar 150 DTS- i
30,Bajaj Pulsar 150 DTS- i
31,Honda CB Unicorn Standard
32,Bajaj Avenger 220 DTS- i
33,Bajaj Discover 125 Drum
34,Yamaha Rx 135
35,Honda CB Shine Electric Start/Disc/Alloy
36,Honda CB Unicorn Dazzler Standard
37,Hero Xtreme Rear Disc Brake
38,Hero Hunk Rear Disc Brake
39,Honda Activa Deluxe
40,Hero Xtreme Gold
41,Yamaha FZ S Standard
42,Yamaha Rx 135
43,Bajaj Pulsar 180 DTS- i
44,Bajaj Pulsar 150 DTS- i
45,Honda Activa Deluxe
46,Bajaj Pulsar 150 DTS- i
47,Yamaha Rx 135
48,Honda Activa Deluxe
49,Bajaj Pulsar 180 DTS- i
50,Bajaj Pulsar 150 DTS- i
51,Honda Activa Deluxe
52,Bajaj Pulsar 220 F
53,Bajaj Pulsar 220 F
54,TVS Star City Alloy wheels
55,Bajaj Pulsar 180 DTS- i
56,Hero HF Dawn Standard
57,Royal Enfield Bullet Electra Twinspark Disc/Electric start
58,Honda CB Shine Electric Start/Disc/Alloy
59,Honda CB Unicorn Dazzler Deluxe
60,TVS Star City Spoke Wheels
61,Bajaj Pulsar 220 F
62,Hero Splendor Plus Electric Start
63,Bajaj Pulsar 150 DTS- i
64,Kawasaki Ninja 250R Standard
65,Bajaj Pulsar 180 DTS- i
66,TVS Apache RTR 180 Standard
67,Hero Splendor PRO Kick Start
68,Hero Xtreme Rear Drum Brake
69,Bajaj Pulsar 180 DTS- i
70,Yamaha Fazer Standard
71,TVS Fiero F2 Disc
72,Royal Enfield Bullet 350 Twinspark Drum /Kick start
73,Yamaha FZ16 Standard
74,Bajaj Discover 150
75,Bajaj Xcd 125 cc
76,Honda CBF Stunner Kick
77,Hero Passion PRO Kick Alloy
78,Bajaj Discover 125 Disc
79,Bajaj Pulsar 150 DTS- i
80,TVS Apache RTR 160 Rear Disc Brake
81,Bajaj Pulsar 180 DTS- i
82,Yamaha YZF R15 V 2.0
83,Bajaj Avenger 220 DTS- i
84,Bajaj Discover 100 ES 4G
85,Hero Hunk Rear Drum Brake
86,Bajaj Pulsar 150 DTS- i
87,Hero Hunk Rear Disc Brake
88,Bajaj Xcd 125 cc
89,Bajaj Pulsar 180 DTS- i
90,Hero Karizma R
91,Kawasaki Ninja 250R Standard
92,Bajaj Pulsar 150 DTS- i
93,Yamaha Fazer Standard
94,Bajaj Pulsar 150 DTS- i
95,Bajaj Discover 100 ES 4G
96,Honda Activa Deluxe
97,Vespa LX 125
98,Bajaj Discover 125 Disc
99,Hero Hunk Rear Disc Brake
100,Bajaj Avenger 220 DTS- i
101,Hero Glamour Disc Brake
102,Bajaj Pulsar 150 DTS- i
103,Bajaj Xcd 125 cc
104,Honda CB Unicorn Dazzler Standard
105,Bajaj Pulsar 150 DTS- i
106,Bajaj Pulsar 135 LS
107,Honda CB Unicorn Standard
108,Hero Karizma R
109,Hero Karizma R
110,Hero Karizma R
111,Hero Splendor PRO Kick Start
112,Honda Dio Deluxe
113,Honda CBF Stunner Kick
114,Yamaha FZ S Standard
115,Royal Enfield Classic 350 Standard
116,Bajaj Pulsar 180 DTS- i
117,Hero Xtreme Gold
118,Suzuki GS150R Standard
119,Yamaha YZF R15 V 2.0
120,Hero Xtreme Rear Disc Brake
121,Hero Splendor Plus Electric Start
122,Bajaj Pulsar 150 DTS- i
123,Bajaj Pulsar 220 F
124,Royal Enfield Classic 500 Standard
125,Hero Karizma R
126,Bajaj Pulsar 220 F
127,Hero Splendor Plus Electric Start
128,Hero Xtreme Rear Drum Brake
129,Hero Hunk Rear Drum Brake
130,Hero Splendor Plus Electric Start
131,Suzuki Bandit 1250SA
132,Bajaj Avenger 220 DTS- i
133,Bajaj Pulsar 150 DTS- i
134,Bajaj Pulsar 150 DTS- i
135,Bajaj Pulsar 150 DTS- i
136,Bajaj Pulsar 180 DTS- i
137,Hero Hunk Rear Disc Brake
138,Honda CB Unicorn Standard
139,Bajaj Avenger 220 DTS- i
140,Royal Enfield Bullet Electra Twinspark Disc/Electric start
141,Kawasaki Ninja 250R Standard
142,Bajaj Pulsar 150 DTS- i
143,Yamaha FZ S Standard
144,Hero Karizma R
145,Royal Enfield Classic 350 Standard
146,Bajaj Pulsar 150 DTS- i
147,Hero Passion X Pro Disc Self Alloy
148,Hero Karizma R
149,Yamaha SZ R Standard
150,Hero Hunk Rear Disc Brake
151,Bajaj Xcd 125 cc
152,Bajaj Pulsar 150 DTS- i
153,Hero Karizma R
154,Royal Enfield Thunderbird Twinspark
155,Honda CBR250R Pearl Sunbeam White-ABS
156,Honda Activa Deluxe
157,Hero Glamour Disc Brake
158,Hero Glamour Disc Brake
